,"X,Y","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Lab ERNC""
00:90:4C:91:00:03","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""CE5CFB""
98:FC:11:E2:A6:A5","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Vibraciones""
50:C7:BF:DD:C3:B3","""FabLab""
AC:84:C6:3E:EF:51","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Microondas""
48:F8:B3:22:4D:4B","""AP_1612927617""
BC:54:F9:FC:7F:60","""Eduescob1""
68:FF:7B:1D:44:01","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Docentes FI""
0E:18:D6:CB:01:A4","""linksys""
00:25:9C:98:4B:7D","""UdeC""
84:D4:7E:29:3E:80","""Baxter""
EC:22:80:F3:EB:EA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Lab 212""
00:23:CD:18:65:9C","""eduroam""
84:D4:7E:29:3C:E2"
132,"(1,2)",-63,-65,-51,-69,-53,-59,-73,-71,-59,-67,-73,-33,-67,-73,-57,-65,-61,-75,-69,-83
133,"(1,2)",-63,-67,-51,-69,-57,-57,-71,-71,-67,-63,-75,-67,-67,-75,-57,-65,-65,-69,-83,-57
134,"(1,2)",-63,-63,-51,-69,-53,-57,-71,-71,-67,-63,-75,-37,-63,-77,-57,-59,-65,-69,-85,-57
135,"(1,2)",-63,-65,-51,-69,-51,-61,-69,-73,-65,-61,-71,-37,-63,-75,-83,-65,-65,-69,-83,-57
136,"(1,2)",-63,-65,-51,-71,-51,-59,-73,-71,-65,-63,-63,-35,-69,-77,-83,-65,-69,-69,-83,-57
137,"(1,2)",-63,-61,-51,-71,-87,-61,-73,-67,-57,-65,-63,-35,-63,-75,-83,-65,-65,-69,-75,-57
138,"(1,2)",-65,-73,-51,-69,-57,-59,-67,-67,-65,-61,-63,-35,-63,-75,-59,-65,-63,-69,-75,-57
139,"(1,2)",-63,-63,-51,-67,-55,-59,-67,-73,-65,-67,-71,-35,-65,-77,-65,-67,-63,-69,-85,-65
140,"(1,2)",-63,-67,-51,-61,-57,-61,-71,-73,-65,-63,-75,-39,-63,-81,-65,-65,-63,-69,-85,-65
141,"(1,2)",-63,-67,-51,-69,-57,-61,-71,-73,-65,-61,-71,-35,-65,-75,-65,-65,-63,-69,-85,-65
142,"(1,2)",-63,-63,-51,-65,-57,-61,-73,-75,-61,-63,-71,-35,-65,-73,-65,-65,-63,-69,-87,-63
143,"(1,2)",-63,-69,-51,-69,-53,-57,-73,-75,-63,-65,-71,-35,-67,-75,-65,-67,-65,-69,-87,-85
144,"(1,2)",-65,-69,-51,-69,-57,-61,-67,-73,-65,-67,-73,-37,-63,-77,-65,-67,-63,-69,-87,-85
145,"(1,2)",-63,-69,-51,-67,-55,-61,-67,-67,-67,-63,-71,-37,-65,-75,-63,-67,-61,-69,-85,-63
146,"(1,2)",-65,-67,-51,-65,-57,-57,-69,-71,-67,-61,-75,-37,-65,-81,-57,-67,-61,-69,-85,-61
147,"(1,2)",-65,-65,-51,-67,-57,-63,-71,-73,-61,-61,-75,-35,-69,-77,-57,-67,-61,-69,-83,-61
148,"(1,2)",-65,-63,-51,-67,-55,-61,-73,-71,-67,-67,-75,-35,-63,-75,-61,-67,-67,-69,-85,-59
149,"(1,2)",-65,-65,-51,-67,-57,-61,-73,-71,-65,-63,-75,-35,-65,-75,-61,-69,-67,-69,-85,-59
150,"(1,2)",-63,-61,-51,-69,-51,-61,-69,-71,-67,-67,-71,-37,-63,-77,-63,-69,-63,-69,-85,-63
151,"(1,2)",-63,-67,-51,-69,-57,-61,-71,-73,-67,-63,-69,-35,-63,-75,-65,-69,-69,-69,-85,-65
152,"(1,2)",-63,-65,-51,-69,-59,-63,-71,-75,-67,-63,-65,-37,-65,-75,-65,-69,-63,-69,-85,-65
153,"(1,2)",-63,-69,-51,-69,-57,-85,-71,-73,-65,-63,-65,-37,-63,-77,-65,-67,-63,-69,-83,-65
154,"(1,2)",-63,-69,-51,-71,-53,-57,-67,-67,-65,-63,-65,-37,-63,-79,-65,-67,-63,-69,-83,-65
155,"(1,2)",-63,-69,-51,-69,-57,-61,-67,-67,-65,-61,-65,-35,-67,-77,-61,-67,-63,-69,-75,-57
156,"(1,2)",-63,-67,-51,-69,-51,-61,-67,-73,-65,-63,-65,-35,-67,-79,-59,-67,-65,-67,-75,-59
157,"(1,2)",-65,-63,-51,-71,-55,-61,-69,-73,-65,-61,-75,-37,-65,-75,-65,-67,-67,-69,-85,-65
158,"(1,2)",-65,-69,-51,-71,-55,-63,-69,-75,-67,-61,-71,-37,-61,-73,-65,-63,-67,-69,-85,-59
159,"(1,2)",-65,-65,-49,-71,-57,-63,-69,-75,-67,-61,-73,-37,-61,-83,-57,-67,-67,-69,-83,-59
