,"X,Y","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""CE5CFB""
98:FC:11:E2:A6:A5","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""LCDA""
B0:48:7A:DE:14:8C","""AP_1612927617""
BC:54:F9:FC:7F:60","""Microondas""
48:F8:B3:22:4D:4B","""FabLab""
AC:84:C6:3E:EF:51","""Lab ERNC""
00:90:4C:91:00:03","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Baxter""
EC:22:80:F3:EB:EA","""Vibraciones""
50:C7:BF:DD:C3:B3","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""eduroam""
84:D4:7E:29:3C:E2","""Die231""
EC:08:6B:42:B5:4A","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Lab 212""
00:23:CD:18:65:9C","""UdeC""
84:D4:7E:29:3E:80","""WiFi-UdeC""
84:D4:7E:29:3E:81","""eduroam""
84:D4:7E:29:3E:82","""solidoswi""
00:4F:6A:0A:1B:6A"
68,"(2,0)",-57,-55,-67,-61,-61,-73,-69,-57,-77,-61,-63,-59,-65,-67,-73,-75,-47,-79,-53,-53,-61,-83
69,"(2,0)",-55,-61,-67,-61,-61,-73,-61,-55,-75,-69,-63,-63,-61,-67,-81,-77,-47,-79,-53,-53,-61,-83
70,"(2,0)",-55,-59,-67,-61,-61,-73,-61,-59,-71,-71,-65,-63,-61,-59,-79,-75,-47,-79,-53,-53,-59,-83
71,"(2,0)",-57,-59,-67,-61,-61,-73,-67,-57,-69,-59,-63,-67,-67,-77,-79,-77,-47,-79,-53,-53,-59,-83
72,"(2,0)",-57,-49,-67,-63,-61,-73,-63,-59,-67,-59,-63,-63,-65,-67,-79,-77,-35,-77,-53,-53,-59,-83
73,"(2,0)",-57,-51,-67,-61,-61,-75,-69,-57,-75,-69,-67,-61,-61,-67,-79,-77,-35,-75,-53,-53,-59,-83
74,"(2,0)",-57,-53,-63,-61,-61,-75,-69,-57,-67,-69,-63,-61,-65,-67,-81,-77,-47,-75,-53,-53,-59,-83
75,"(2,0)",-55,-53,-63,-61,-61,-67,-67,-55,-67,-69,-63,-61,-67,-67,-81,-75,-33,-77,-53,-51,-61,-83
76,"(2,0)",-57,-61,-69,-59,-61,-73,-67,-57,-67,-67,-63,-61,-67,-89,-81,-75,-33,-77,-53,-53,-59,-83
77,"(2,0)",-57,-53,-67,-59,-61,-73,-67,-57,-67,-59,-65,-61,-67,-59,-81,-75,-47,-77,-51,-51,-59,-85
78,"(2,0)",-57,-57,-67,-61,-61,-73,-67,-57,-73,-61,-63,-61,-65,-67,-81,-75,-47,-77,-53,-51,-59,-85
79,"(2,0)",-51,-55,-69,-61,-61,-73,-65,-57,-73,-69,-67,-85,-67,-67,-81,-77,-35,-77,-53,-51,-59,-85
80,"(2,0)",-57,-51,-69,-61,-61,-73,-69,-55,-77,-67,-63,-85,-65,-69,-81,-77,-35,-77,-53,-53,-59,-85
81,"(2,0)",-57,-61,-67,-61,-63,-73,-69,-57,-77,-61,-65,-63,-65,-61,-77,-77,-47,-77,-53,-53,-59,-85
82,"(2,0)",-57,-53,-67,-61,-61,-73,-69,-57,-77,-61,-65,-59,-67,-67,-77,-77,-35,-77,-53,-53,-61,-85
83,"(2,0)",-55,-53,-61,-59,-61,-73,-67,-59,-67,-59,-63,-59,-67,-67,-77,-77,-33,-77,-53,-53,-61,-89
84,"(2,0)",-57,-51,-65,-61,-63,-73,-67,-57,-75,-67,-63,-63,-67,-67,-79,-75,-33,-79,-53,-53,-61,-89
85,"(2,0)",-57,-61,-65,-61,-63,-73,-67,-57,-75,-69,-63,-63,-67,-67,-79,-75,-35,-79,-53,-53,-61,-83
86,"(2,0)",-57,-61,-63,-71,-61,-73,-69,-57,-75,-85,-63,-61,-65,-67,-79,-75,-45,-77,-53,-53,-59,-83
87,"(2,0)",-55,-57,-67,-63,-63,-73,-67,-61,-67,-59,-63,-61,-65,-67,-79,-77,-49,-75,-51,-53,-59,-83
88,"(2,0)",-57,-57,-61,-63,-61,-73,-67,-59,-75,-59,-63,-61,-67,-67,-81,-75,-49,-75,-63,-53,-61,-85
89,"(2,0)",-57,-55,-63,-61,-59,-73,-69,-55,-71,-59,-63,-61,-67,-67,-81,-75,-45,-77,-63,-53,-59,-83
90,"(2,0)",-57,-59,-67,-61,-61,-73,-63,-57,-69,-69,-65,-61,-67,-67,-81,-75,-33,-73,-63,-53,-59,-83
91,"(2,0)",-57,-49,-69,-63,-61,-73,-67,-57,-67,-61,-63,-63,-65,-61,-81,-75,-35,-73,-63,-53,-59,-83
92,"(2,0)",-57,-57,-67,-61,-61,-73,-67,-57,-67,-61,-65,-63,-65,-61,-81,-77,-47,-77,-53,-53,-59,-83
93,"(2,0)",-57,-55,-67,-61,-59,-73,-63,-57,-75,-69,-65,-65,-67,-61,-81,-75,-35,-77,-85,-53,-59,-83
94,"(2,0)",-49,-53,-67,-61,-61,-73,-63,-57,-67,-71,-63,-65,-67,-67,-79,-75,-35,-77,-53,-53,-59,-83
95,"(2,0)",-57,-49,-63,-61,-63,-73,-67,-55,-75,-61,-65,-65,-67,-67,-79,-75,-35,-71,-53,-53,-57,-85
96,"(2,0)",-57,-49,-69,-61,-61,-73,-67,-61,-67,-61,-63,-65,-53,-67,-79,-75,-35,-71,-53,-53,-59,-85
97,"(2,0)",-55,-61,-67,-61,-63,-73,-65,-55,-67,-61,-63,-59,-63,-67,-77,-77,-45,-71,-53,-53,-59,-85
98,"(2,0)",-57,-57,-67,-63,-61,-73,-67,-55,-67,-61,-63,-61,-63,-67,-81,-77,-33,-77,-53,-53,-59,-85
99,"(2,0)",-57,-49,-67,-61,-61,-73,-69,-55,-75,-67,-63,-61,-65,-67,-81,-77,-47,-77,-53,-73,-61,-85
100,"(2,0)",-47,-49,-69,-63,-61,-73,-65,-59,-67,-61,-61,-59,-67,-67,-81,-77,-45,-77,-53,-73,-61,-85
101,"(2,0)",-57,-49,-67,-63,-63,-73,-67,-57,-69,-67,-65,-59,-63,-67,-81,-77,-47,-77,-53,-51,-59,-85
102,"(2,0)",-55,-51,-67,-61,-63,-73,-67,-59,-73,-69,-67,-59,-67,-67,-81,-77,-35,-77,-53,-53,-59,-85
103,"(2,0)",-57,-51,-67,-61,-63,-73,-65,-59,-73,-67,-65,-59,-67,-65,-79,-77,-33,-77,-53,-53,-61,-85
104,"(2,0)",-57,-57,-67,-61,-63,-73,-65,-57,-75,-67,-63,-63,-65,-65,-79,-77,-35,-79,-53,-53,-59,-85
105,"(2,0)",-57,-57,-61,-61,-63,-73,-67,-57,-75,-61,-63,-63,-67,-65,-81,-77,-35,-79,-53,-53,-59,-85
106,"(2,0)",-53,-59,-61,-61,-63,-73,-63,-57,-67,-69,-63,-59,-67,-65,-81,-77,-35,-79,-53,-53,-59,-85
107,"(2,0)",-57,-57,-79,-61,-63,-75,-67,-57,-77,-59,-63,-61,-67,-65,-81,-77,-35,-77,-53,-53,-59,-85
108,"(2,0)",-57,-57,-69,-63,-65,-73,-67,-57,-75,-63,-61,-61,-67,-65,-83,-73,-33,-77,-55,-55,-63,-85
109,"(2,0)",-57,-55,-69,-61,-63,-73,-61,-59,-67,-61,-65,-61,-65,-59,-81,-73,-33,-79,-55,-55,-63,-85
110,"(2,0)",-57,-55,-67,-61,-63,-73,-65,-55,-73,-61,-65,-65,-65,-59,-83,-73,-35,-79,-55,-63,-59,-85
111,"(2,0)",-57,-55,-69,-61,-61,-73,-67,-55,-67,-61,-63,-63,-65,-59,-81,-77,-33,-79,-53,-53,-85,-85
112,"(2,0)",-55,-53,-67,-61,-61,-73,-67,-59,-73,-61,-63,-63,-67,-67,-81,-75,-35,-79,-53,-53,-59,-83
113,"(2,0)",-55,-55,-69,-61,-63,-75,-65,-59,-67,-61,-67,-63,-67,-67,-81,-71,-33,-77,-53,-53,-61,-83
114,"(2,0)",-57,-53,-67,-61,-61,-73,-67,-57,-67,-69,-65,-63,-65,-67,-79,-77,-47,-79,-53,-53,-59,-83
115,"(2,0)",-57,-57,-67,-61,-61,-73,-67,-57,-67,-69,-65,-59,-65,-67,-77,-75,-47,-79,-53,-53,-59,-83
116,"(2,0)",-57,-49,-77,-63,-61,-71,-67,-59,-73,-61,-65,-63,-65,-67,-81,-75,-33,-79,-53,-63,-57,-83
117,"(2,0)",-57,-53,-67,-61,-61,-73,-67,-57,-67,-69,-63,-63,-65,-67,-81,-75,-35,-79,-61,-63,-57,-85
118,"(2,0)",-57,-53,-59,-61,-61,-73,-69,-57,-75,-61,-63,-63,-61,-57,-81,-77,-35,-77,-53,-53,-57,-85
119,"(2,0)",-55,-73,-59,-61,-61,-73,-67,-57,-73,-61,-63,-63,-67,-57,-83,-77,-35,-77,-53,-53,-57,-85
120,"(2,0)",-57,-59,-77,-61,-61,-73,-67,-57,-67,-61,-61,-63,-67,-69,-83,-77,-35,-77,-53,-53,-59,-85
121,"(2,0)",-55,-59,-69,-61,-61,-75,-63,-57,-67,-69,-67,-63,-65,-67,-83,-73,-45,-77,-51,-53,-61,-85
122,"(2,0)",-57,-59,-69,-61,-61,-73,-65,-57,-75,-61,-63,-63,-67,-67,-81,-77,-35,-77,-61,-53,-59,-85
123,"(2,0)",-55,-49,-67,-61,-61,-73,-67,-57,-67,-61,-63,-63,-67,-67,-79,-77,-47,-75,-61,-53,-59,-85
124,"(2,0)",-57,-49,-65,-61,-61,-75,-63,-57,-73,-67,-63,-63,-67,-59,-79,-77,-33,-77,-53,-53,-61,-85
125,"(2,0)",-55,-59,-67,-61,-61,-73,-65,-57,-69,-69,-63,-59,-65,-59,-79,-75,-35,-77,-53,-53,-59,-85
126,"(2,0)",-55,-61,-77,-61,-61,-73,-69,-57,-67,-69,-63,-61,-67,-67,-79,-77,-35,-79,-53,-53,-61,-85
127,"(2,0)",-57,-57,-69,-59,-63,-73,-67,-55,-67,-63,-63,-61,-55,-67,-81,-77,-65,-79,-51,-53,-61,-85
128,"(2,0)",-55,-57,-63,-61,-63,-71,-67,-61,-75,-69,-63,-61,-63,-61,-81,-77,-35,-79,-53,-53,-57,-85
129,"(2,0)",-57,-53,-63,-59,-63,-73,-63,-61,-75,-61,-65,-63,-67,-67,-81,-75,-35,-77,-51,-53,-59,-83
130,"(2,0)",-57,-49,-67,-61,-61,-75,-65,-57,-67,-61,-65,-61,-59,-63,-81,-75,-47,-75,-51,-53,-57,-87
131,"(2,0)",-57,-61,-65,-61,-61,-73,-65,-59,-75,-67,-63,-65,-67,-63,-81,-77,-35,-73,-53,-61,-57,-87
132,"(2,0)",-57,-59,-67,-61,-61,-71,-67,-57,-67,-67,-63,-59,-67,-63,-81,-75,-47,-77,-53,-53,-61,-87
133,"(2,0)",-53,-59,-67,-61,-61,-75,-67,-57,-67,-61,-65,-61,-67,-63,-81,-75,-47,-77,-53,-53,-59,-85
134,"(2,0)",-57,-51,-67,-61,-61,-67,-63,-57,-75,-65,-65,-61,-67,-67,-77,-75,-33,-77,-61,-51,-59,-85
135,"(2,0)",-53,-73,-63,-59,-61,-67,-63,-55,-73,-67,-65,-59,-67,-67,-77,-59,-35,-77,-53,-53,-59,-85
136,"(2,0)",-57,-55,-61,-61,-61,-73,-67,-59,-69,-61,-63,-59,-65,-67,-77,-59,-33,-79,-53,-53,-61,-85
137,"(2,0)",-55,-51,-63,-61,-63,-75,-65,-57,-75,-67,-63,-59,-65,-67,-81,-59,-35,-79,-53,-53,-61,-85
138,"(2,0)",-57,-61,-63,-61,-61,-73,-67,-57,-75,-67,-65,-59,-67,-67,-79,-59,-47,-79,-53,-53,-61,-85
139,"(2,0)",-53,-55,-65,-61,-61,-73,-67,-57,-67,-69,-63,-59,-67,-67,-79,-77,-47,-79,-53,-53,-59,-85
140,"(2,0)",-57,-53,-65,-61,-61,-73,-67,-57,-77,-67,-61,-59,-61,-67,-81,-75,-33,-79,-51,-53,-61,-87
141,"(2,0)",-55,-57,-67,-61,-61,-73,-63,-57,-67,-87,-65,-59,-65,-67,-81,-77,-35,-75,-51,-53,-59,-87
142,"(2,0)",-55,-51,-61,-59,-61,-71,-67,-57,-67,-87,-65,-63,-65,-67,-81,-77,-35,-77,-51,-53,-59,-87
143,"(2,0)",-55,-51,-67,-61,-61,-73,-61,-57,-73,-87,-67,-59,-67,-61,-81,-75,-47,-77,-53,-53,-61,-87
144,"(2,0)",-55,-57,-73,-59,-61,-75,-65,-57,-75,-61,-67,-61,-67,-61,-81,-75,-47,-77,-61,-53,-59,-87
145,"(2,0)",-57,-55,-67,-59,-61,-73,-65,-57,-75,-61,-67,-61,-65,-61,-81,-75,-47,-77,-51,-53,-61,-87
146,"(2,0)",-55,-59,-67,-59,-63,-73,-67,-57,-67,-63,-69,-63,-65,-67,-79,-75,-47,-71,-61,-53,-59,-87
147,"(2,0)",-55,-59,-67,-59,-61,-73,-63,-55,-75,-69,-69,-63,-65,-67,-79,-75,-47,-71,-53,-51,-59,-87
148,"(2,0)",-57,-57,-69,-61,-63,-73,-69,-57,-75,-63,-59,-63,-67,-65,-81,-73,-47,-77,-53,-53,-59,-85
149,"(2,0)",-55,-51,-69,-59,-61,-73,-65,-57,-65,-61,-59,-63,-67,-65,-81,-73,-47,-77,-53,-53,-59,-85
150,"(2,0)",-57,-73,-67,-61,-61,-73,-67,-57,-67,-61,-63,-59,-65,-65,-81,-75,-47,-77,-53,-53,-59,-85
151,"(2,0)",-51,-51,-63,-61,-61,-75,-67,-61,-67,-71,-63,-61,-67,-65,-81,-73,-35,-79,-53,-53,-59,-85
152,"(2,0)",-57,-57,-63,-59,-61,-73,-69,-61,-77,-69,-63,-63,-65,-65,-81,-73,-47,-75,-53,-71,-59,-85
153,"(2,0)",-57,-55,-63,-61,-61,-73,-67,-59,-67,-63,-63,-63,-67,-69,-79,-75,-33,-75,-53,-53,-61,-85
154,"(2,0)",-57,-59,-65,-59,-61,-73,-67,-57,-75,-67,-63,-61,-65,-69,-81,-75,-45,-75,-53,-53,-61,-85
