,"X,Y","""Lab ERNC""
00:90:4C:91:00:03","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Vibraciones""
50:C7:BF:DD:C3:B3","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Docentes FI""
0E:18:D6:CB:01:A4","""Microondas""
48:F8:B3:22:4D:4B","""CE5CFB""
98:FC:11:E2:A6:A5","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""Die231""
EC:08:6B:42:B5:4A","""LabSerc 2.4""
94:10:3E:86:13:20","""Lab Energias Renovables""
F4:EC:38:D2:09:78"
144,"(0,1)",-77,-68,-74,-73,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-74
145,"(0,1)",-77,-68,-74,-73,-77,-52,-78,-78,-72,-82,-71,-70,-89,-79,-74
146,"(0,1)",-77,-68,-74,-73,-77,-52,-78,-78,-72,-81,-71,-69,-89,-79,-74
147,"(0,1)",-77,-68,-74,-73,-77,-52,-78,-78,-72,-80,-71,-69,-89,-79,-74
148,"(0,1)",-77,-68,-75,-73,-77,-52,-78,-78,-72,-80,-71,-70,-91,-79,-74
149,"(0,1)",-77,-68,-74,-73,-77,-52,-77,-78,-72,-80,-71,-70,-91,-79,-75
150,"(0,1)",-77,-68,-74,-72,-77,-52,-78,-78,-72,-80,-71,-70,-91,-79,-76
151,"(0,1)",-77,-68,-73,-72,-77,-52,-77,-78,-72,-80,-71,-69,-91,-79,-75
152,"(0,1)",-77,-68,-73,-72,-77,-52,-76,-78,-72,-80,-71,-70,-91,-79,-74
153,"(0,1)",-77,-68,-73,-73,-76,-52,-75,-78,-72,-79,-71,-70,-91,-79,-74
154,"(0,1)",-77,-68,-74,-73,-76,-52,-76,-78,-72,-79,-71,-70,-91,-79,-74
155,"(0,1)",-77,-68,-74,-73,-77,-52,-76,-78,-72,-79,-71,-70,-91,-79,-75
156,"(0,1)",-77,-68,-74,-74,-77,-52,-77,-78,-73,-79,-71,-70,-91,-79,-74
157,"(0,1)",-77,-68,-74,-74,-77,-52,-77,-78,-73,-79,-71,-70,-91,-79,-74
158,"(0,1)",-77,-68,-74,-75,-77,-52,-77,-78,-73,-79,-71,-70,-91,-79,-74
159,"(0,1)",-77,-68,-73,-75,-77,-52,-78,-78,-74,-79,-71,-70,-90,-79,-74
160,"(0,1)",-77,-68,-73,-75,-77,-52,-78,-78,-73,-79,-71,-69,-90,-79,-75
161,"(0,1)",-77,-69,-74,-75,-77,-52,-78,-78,-72,-79,-71,-69,-90,-79,-75
162,"(0,1)",-77,-69,-74,-75,-77,-52,-77,-78,-72,-79,-71,-70,-90,-79,-74
163,"(0,1)",-77,-69,-74,-74,-77,-52,-77,-78,-72,-79,-71,-70,-90,-79,-76
164,"(0,1)",-75,-69,-74,-74,-77,-56,-77,-78,-72,-79,-71,-70,-90,-79,-75
165,"(0,1)",-76,-69,-74,-74,-77,-54,-77,-78,-72,-79,-71,-69,-90,-79,-75
166,"(0,1)",-77,-68,-74,-75,-77,-53,-77,-78,-73,-79,-71,-69,-89,-79,-74
167,"(0,1)",-77,-68,-73,-75,-77,-52,-77,-78,-73,-79,-71,-69,-89,-79,-74
168,"(0,1)",-77,-68,-73,-75,-77,-52,-77,-78,-73,-79,-71,-69,-89,-79,-75
169,"(0,1)",-77,-68,-73,-74,-77,-52,-77,-78,-73,-79,-71,-69,-89,-79,-74
170,"(0,1)",-77,-68,-73,-74,-76,-52,-77,-78,-73,-79,-71,-69,-89,-79,-74
171,"(0,1)",-76,-68,-73,-74,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-75
172,"(0,1)",-76,-68,-73,-74,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-74
173,"(0,1)",-77,-68,-73,-74,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-74
174,"(0,1)",-77,-68,-74,-73,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-74
175,"(0,1)",-77,-68,-74,-72,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-75
176,"(0,1)",-75,-68,-74,-74,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-75
177,"(0,1)",-76,-68,-74,-74,-77,-52,-78,-78,-72,-79,-71,-70,-89,-79,-74
178,"(0,1)",-77,-68,-74,-74,-77,-52,-78,-78,-72,-78,-71,-70,-89,-79,-74
179,"(0,1)",-77,-68,-73,-75,-77,-52,-77,-78,-72,-78,-71,-70,-89,-79,-75
180,"(0,1)",-77,-68,-74,-75,-77,-52,-78,-78,-72,-79,-71,-68,-89,-79,-75
181,"(0,1)",-77,-68,-74,-74,-77,-52,-78,-78,-72,-79,-71,-68,-89,-79,-75
182,"(0,1)",-77,-68,-74,-76,-77,-52,-78,-78,-72,-79,-71,-69,-89,-79,-74
183,"(0,1)",-77,-68,-74,-76,-77,-52,-78,-78,-72,-79,-71,-69,-89,-79,-74
184,"(0,1)",-77,-68,-74,-76,-77,-52,-78,-78,-72,-79,-71,-69,-89,-79,-74
185,"(0,1)",-77,-68,-74,-76,-77,-52,-78,-78,-72,-79,-71,-69,-89,-79,-74
186,"(0,1)",-77,-68,-74,-76,-77,-52,-78,-78,-72,-79,-71,-68,-89,-79,-74
187,"(0,1)",-75,-69,-74,-75,-77,-52,-78,-78,-72,-79,-71,-68,-89,-79,-75
188,"(0,1)",-75,-69,-74,-75,-77,-52,-78,-78,-72,-79,-71,-69,-89,-79,-74
189,"(0,1)",-76,-69,-74,-76,-77,-52,-78,-78,-73,-79,-71,-69,-89,-79,-74
190,"(0,1)",-76,-69,-75,-75,-77,-52,-78,-78,-73,-79,-71,-69,-89,-79,-75
191,"(0,1)",-76,-69,-74,-74,-77,-52,-78,-78,-73,-79,-74,-68,-89,-79,-75
192,"(0,1)",-77,-69,-74,-72,-77,-52,-78,-78,-73,-79,-73,-68,-89,-79,-74
193,"(0,1)",-77,-70,-74,-75,-76,-52,-78,-78,-72,-79,-72,-68,-88,-79,-76
194,"(0,1)",-76,-70,-75,-73,-77,-52,-78,-78,-72,-79,-72,-68,-88,-79,-75
195,"(0,1)",-77,-70,-74,-73,-77,-52,-78,-78,-72,-79,-72,-71,-88,-79,-76
196,"(0,1)",-77,-70,-74,-73,-77,-52,-78,-78,-72,-79,-72,-71,-88,-79,-76
197,"(0,1)",-77,-70,-75,-73,-77,-52,-78,-78,-72,-79,-72,-69,-88,-79,-77
198,"(0,1)",-77,-70,-74,-73,-77,-52,-78,-78,-72,-79,-72,-70,-88,-79,-76
199,"(0,1)",-77,-70,-74,-74,-77,-52,-78,-78,-72,-79,-72,-69,-88,-79,-76
200,"(0,1)",-77,-70,-73,-74,-77,-52,-78,-78,-72,-79,-74,-69,-88,-79,-75
201,"(0,1)",-76,-70,-73,-73,-77,-52,-78,-82,-72,-79,-73,-69,-89,-79,-74
202,"(0,1)",-76,-70,-73,-73,-76,-52,-78,-82,-72,-79,-72,-69,-89,-79,-75
