,"X,Y","""FabLab""
AC:84:C6:3E:EF:51","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""linksys""
00:25:9C:98:4B:7D","""Lab ERNC""
00:90:4C:91:00:03","""AP_1612927617""
BC:54:F9:FC:7F:60","""Vibraciones""
50:C7:BF:DD:C3:B3","""SalaEstudioMecanica""
80:2A:A8:D4:F3:58","""Baxter""
EC:22:80:F3:EB:EA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Docentes FI""
0E:18:D6:CB:01:A4","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Microondas""
48:F8:B3:22:4D:4B","""Lab 212""
00:23:CD:18:65:9C","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Die231""
EC:08:6B:42:B5:4A","""eduroam""
84:D4:7E:29:3E:82","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1"
135,"(0,0)",-77,-71,-78,-73,-72,-71,-72,-74,-57,-75,-72,-77,-72,-79,-79,-77,-71,-79,-69
136,"(0,0)",-77,-71,-78,-73,-72,-71,-72,-75,-57,-75,-72,-77,-72,-79,-79,-77,-70,-79,-69
137,"(0,0)",-77,-71,-78,-74,-72,-71,-72,-75,-56,-74,-72,-77,-72,-79,-79,-76,-78,-79,-69
138,"(0,0)",-77,-71,-78,-74,-71,-71,-73,-75,-56,-74,-72,-77,-72,-79,-79,-76,-77,-79,-69
139,"(0,0)",-77,-71,-78,-73,-71,-71,-72,-75,-57,-74,-72,-77,-72,-79,-79,-76,-75,-79,-69
140,"(0,0)",-77,-71,-78,-73,-71,-69,-73,-75,-57,-77,-72,-77,-72,-79,-79,-77,-73,-79,-69
141,"(0,0)",-77,-71,-78,-73,-71,-68,-73,-74,-56,-77,-72,-77,-72,-79,-79,-76,-72,-79,-69
142,"(0,0)",-77,-71,-78,-74,-71,-69,-73,-75,-56,-77,-72,-77,-72,-79,-79,-77,-72,-79,-70
143,"(0,0)",-77,-71,-78,-74,-71,-69,-73,-74,-56,-76,-72,-77,-72,-79,-79,-76,-72,-79,-70
144,"(0,0)",-77,-71,-78,-73,-71,-70,-74,-74,-57,-77,-72,-77,-72,-79,-79,-76,-71,-79,-70
145,"(0,0)",-77,-71,-78,-73,-71,-70,-74,-74,-57,-76,-72,-77,-72,-79,-79,-76,-73,-79,-70
146,"(0,0)",-77,-71,-78,-74,-71,-68,-74,-74,-59,-76,-72,-77,-72,-79,-79,-76,-72,-79,-70
147,"(0,0)",-77,-71,-78,-73,-71,-70,-74,-75,-58,-76,-72,-77,-72,-79,-79,-76,-72,-79,-70
148,"(0,0)",-77,-71,-78,-73,-71,-70,-73,-75,-58,-75,-72,-77,-72,-79,-79,-76,-72,-79,-69
149,"(0,0)",-77,-71,-78,-73,-71,-70,-73,-75,-57,-74,-72,-77,-72,-79,-79,-77,-72,-79,-70
150,"(0,0)",-77,-71,-78,-73,-71,-70,-73,-75,-56,-74,-72,-77,-72,-79,-79,-77,-74,-79,-70
151,"(0,0)",-76,-71,-78,-73,-71,-70,-73,-75,-57,-73,-72,-77,-72,-79,-79,-77,-74,-79,-70
152,"(0,0)",-77,-71,-78,-74,-71,-69,-73,-75,-57,-73,-72,-77,-72,-79,-79,-77,-75,-79,-70
153,"(0,0)",-77,-71,-78,-74,-71,-69,-72,-75,-58,-74,-72,-77,-72,-79,-79,-76,-72,-79,-70
154,"(0,0)",-77,-71,-78,-74,-71,-68,-72,-74,-57,-74,-72,-77,-72,-79,-79,-75,-72,-79,-70
155,"(0,0)",-77,-71,-78,-74,-71,-67,-73,-74,-60,-73,-72,-77,-72,-79,-79,-76,-72,-79,-70
156,"(0,0)",-77,-71,-78,-74,-71,-70,-73,-74,-60,-73,-72,-77,-72,-79,-79,-76,-73,-79,-71
157,"(0,0)",-77,-71,-78,-74,-71,-70,-73,-74,-58,-74,-72,-77,-72,-79,-79,-77,-72,-79,-71
158,"(0,0)",-77,-71,-78,-74,-71,-70,-73,-75,-58,-74,-72,-77,-72,-79,-79,-77,-71,-79,-70
159,"(0,0)",-76,-71,-78,-73,-72,-68,-73,-75,-56,-74,-72,-77,-72,-79,-79,-77,-70,-79,-70
160,"(0,0)",-77,-71,-78,-73,-72,-70,-72,-74,-56,-74,-72,-77,-72,-79,-79,-77,-70,-79,-70
161,"(0,0)",-76,-71,-78,-73,-72,-70,-73,-75,-56,-74,-72,-77,-72,-79,-79,-77,-70,-79,-70
162,"(0,0)",-76,-71,-78,-73,-72,-70,-73,-75,-57,-75,-72,-77,-72,-79,-79,-77,-70,-79,-70
163,"(0,0)",-77,-71,-78,-73,-72,-70,-73,-75,-56,-75,-72,-77,-72,-79,-79,-77,-70,-79,-70
164,"(0,0)",-77,-71,-78,-73,-72,-70,-73,-75,-57,-74,-72,-77,-72,-79,-79,-77,-75,-78,-70
165,"(0,0)",-77,-71,-78,-73,-71,-71,-73,-75,-57,-74,-71,-77,-72,-79,-79,-77,-73,-78,-70
166,"(0,0)",-78,-73,-78,-73,-71,-71,-73,-75,-56,-75,-71,-77,-72,-79,-79,-77,-73,-78,-70
167,"(0,0)",-78,-72,-78,-73,-71,-71,-73,-75,-56,-75,-71,-77,-72,-79,-79,-77,-72,-78,-70
168,"(0,0)",-77,-72,-78,-73,-71,-70,-74,-75,-57,-75,-71,-77,-72,-79,-79,-77,-72,-78,-70
169,"(0,0)",-77,-72,-78,-73,-71,-69,-74,-75,-56,-75,-71,-77,-72,-79,-79,-77,-72,-78,-70
170,"(0,0)",-77,-72,-78,-73,-71,-69,-74,-75,-56,-74,-71,-77,-72,-79,-79,-77,-71,-78,-70
171,"(0,0)",-77,-72,-78,-73,-71,-70,-74,-75,-57,-74,-71,-77,-72,-79,-79,-79,-72,-78,-70
172,"(0,0)",-77,-72,-78,-72,-71,-71,-74,-76,-56,-74,-71,-77,-73,-79,-79,-79,-72,-78,-70
173,"(0,0)",-76,-72,-78,-71,-71,-71,-73,-75,-56,-74,-71,-77,-73,-79,-79,-77,-71,-78,-70
174,"(0,0)",-77,-72,-78,-72,-71,-71,-73,-75,-56,-75,-71,-77,-73,-79,-79,-76,-71,-78,-90
175,"(0,0)",-77,-72,-78,-72,-71,-71,-73,-75,-56,-74,-71,-77,-73,-79,-79,-77,-71,-78,-90
176,"(0,0)",-77,-72,-78,-72,-71,-70,-74,-75,-57,-74,-71,-77,-73,-79,-79,-80,-71,-79,-88
177,"(0,0)",-77,-72,-78,-72,-71,-70,-74,-75,-57,-74,-71,-77,-73,-79,-79,-78,-71,-79,-89
178,"(0,0)",-77,-72,-78,-72,-71,-69,-75,-76,-57,-74,-71,-77,-73,-79,-79,-78,-71,-79,-89
179,"(0,0)",-77,-72,-78,-72,-72,-69,-76,-76,-57,-74,-71,-77,-73,-79,-79,-78,-71,-79,-87
180,"(0,0)",-76,-72,-78,-72,-72,-70,-75,-76,-57,-75,-71,-77,-73,-79,-79,-78,-71,-79,-87
