,"X,Y","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""linksys""
00:25:9C:98:4B:7D","""Vibraciones""
50:C7:BF:DD:C3:B3","""SMA1930055648""
B0:72:BF:05:3C:3D","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Sistemas Electronicos""
64:70:02:40:6C:DE","""Microondas""
48:F8:B3:22:4D:4B","""FabLab""
AC:84:C6:3E:EF:51","""Lab 212""
00:23:CD:18:65:9C","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab ERNC""
00:90:4C:91:00:03","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Controlistas""
54:E6:FC:E7:FA:D2","""Die231""
EC:08:6B:42:B5:4A","""Docentes FI""
0E:18:D6:CB:01:A4","""WiFi-UdeC""
84:D4:7E:29:3E:81","""LCDA""
B0:48:7A:DE:14:8C","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""MII2011""
74:EA:3A:C6:29:A0","""UdeC""
84:D4:7E:29:3E:80","""eduroam""
84:D4:7E:29:5B:22","""CE5CFB""
98:FC:11:E2:A6:A5","""DII-SalaEstudio""
D8:5D:4C:BF:11:FA","""labceramicos""
E8:DE:27:7F:69:DC","""ANDES""
00:11:95:09:C1:4A"
92,"(0,1)",-65,-67,-77,-75,-79,-59,-73,-67,-75,-81,-69,-71,-81,-69,-77,-83,-73,-73,-77,-73,-85,-73,-81,-73,-79,-77,-75
93,"(0,1)",-67,-67,-79,-75,-79,-59,-73,-67,-75,-81,-83,-61,-53,-67,-77,-81,-73,-73,-77,-69,-85,-73,-81,-73,-79,-77,-81
94,"(0,1)",-67,-67,-79,-77,-81,-59,-73,-69,-73,-81,-83,-63,-51,-69,-77,-83,-73,-73,-79,-69,-85,-73,-81,-73,-79,-77,-77
95,"(0,1)",-67,-67,-77,-77,-81,-61,-73,-65,-73,-79,-83,-71,-51,-67,-77,-83,-69,-75,-81,-71,-87,-73,-81,-73,-81,-77,-77
96,"(0,1)",-67,-67,-73,-75,-81,-59,-71,-67,-75,-79,-71,-71,-53,-69,-83,-83,-69,-73,-79,-71,-83,-73,-81,-73,-81,-77,-83
97,"(0,1)",-67,-69,-75,-77,-81,-59,-71,-71,-69,-77,-71,-65,-53,-69,-83,-83,-83,-73,-79,-73,-83,-73,-81,-75,-81,-73,-83
98,"(0,1)",-67,-67,-77,-77,-83,-59,-71,-69,-71,-79,-73,-65,-41,-69,-83,-81,-83,-71,-79,-73,-83,-71,-81,-81,-81,-73,-83
99,"(0,1)",-67,-67,-79,-75,-81,-59,-71,-67,-75,-81,-73,-63,-51,-69,-83,-81,-83,-71,-79,-73,-83,-73,-81,-75,-79,-73,-83
100,"(0,1)",-67,-67,-75,-75,-81,-59,-71,-73,-75,-81,-73,-73,-53,-69,-83,-81,-67,-79,-81,-73,-77,-73,-81,-75,-79,-77,-79
101,"(0,1)",-67,-69,-75,-75,-83,-61,-73,-61,-75,-71,-75,-73,-41,-69,-81,-81,-67,-73,-79,-71,-83,-73,-77,-83,-77,-77,-77
102,"(0,1)",-69,-67,-75,-77,-81,-61,-71,-69,-73,-79,-69,-69,-41,-69,-81,-79,-67,-73,-79,-71,-83,-73,-75,-83,-77,-77,-77
103,"(0,1)",-69,-67,-77,-77,-83,-59,-73,-67,-75,-79,-69,-71,-53,-69,-81,-79,-71,-75,-79,-73,-85,-75,-75,-81,-77,-77,-77
104,"(0,1)",-69,-67,-77,-75,-81,-59,-71,-67,-75,-75,-67,-71,-53,-67,-85,-83,-71,-73,-79,-73,-87,-75,-75,-83,-73,-81,-81
105,"(0,1)",-69,-67,-77,-75,-83,-55,-71,-67,-75,-81,-67,-65,-51,-71,-85,-83,-71,-77,-79,-73,-85,-75,-75,-81,-79,-81,-81
106,"(0,1)",-69,-67,-77,-77,-85,-59,-71,-67,-71,-77,-73,-65,-51,-69,-85,-79,-73,-77,-79,-73,-85,-73,-75,-81,-79,-81,-81
107,"(0,1)",-67,-67,-77,-75,-79,-59,-77,-67,-71,-73,-69,-71,-51,-69,-85,-79,-73,-75,-79,-73,-85,-73,-75,-81,-75,-81,-81
108,"(0,1)",-69,-69,-71,-75,-81,-61,-73,-61,-75,-79,-67,-63,-41,-69,-85,-83,-69,-73,-79,-71,-85,-73,-75,-81,-79,-81,-81
109,"(0,1)",-67,-67,-77,-75,-81,-59,-71,-67,-73,-77,-69,-65,-41,-71,-85,-81,-73,-73,-79,-73,-85,-73,-75,-81,-77,-81,-81
110,"(0,1)",-67,-69,-79,-75,-81,-59,-71,-67,-75,-75,-69,-71,-53,-69,-85,-81,-73,-75,-81,-73,-85,-73,-69,-81,-73,-81,-81
111,"(0,1)",-67,-67,-73,-75,-81,-59,-71,-67,-77,-79,-71,-71,-51,-67,-85,-81,-71,-75,-81,-73,-85,-73,-75,-79,-73,-81,-77
112,"(0,1)",-67,-67,-77,-77,-77,-59,-69,-69,-69,-79,-73,-73,-53,-71,-85,-81,-73,-73,-79,-73,-87,-75,-75,-81,-77,-81,-79
113,"(0,1)",-67,-69,-75,-77,-79,-59,-71,-69,-73,-81,-71,-71,-53,-71,-85,-81,-73,-73,-79,-71,-87,-75,-75,-77,-77,-81,-77
114,"(0,1)",-65,-67,-73,-79,-79,-59,-71,-69,-75,-77,-71,-71,-53,-65,-79,-81,-73,-75,-77,-71,-87,-73,-77,-77,-77,-81,-77
115,"(0,1)",-67,-67,-77,-75,-83,-61,-73,-61,-71,-71,-71,-71,-53,-65,-79,-83,-73,-75,-77,-73,-85,-75,-73,-77,-77,-81,-77
116,"(0,1)",-67,-67,-79,-75,-79,-59,-71,-69,-75,-79,-73,-71,-53,-67,-79,-83,-73,-77,-77,-73,-85,-73,-75,-77,-77,-81,-77
117,"(0,1)",-67,-69,-79,-75,-81,-59,-71,-67,-71,-81,-73,-71,-41,-67,-79,-81,-67,-77,-79,-73,-85,-73,-75,-77,-73,-79,-77
118,"(0,1)",-65,-69,-77,-73,-81,-61,-71,-75,-71,-75,-73,-65,-53,-69,-79,-85,-67,-71,-71,-73,-85,-71,-75,-77,-73,-81,-77
119,"(0,1)",-69,-67,-77,-75,-77,-59,-77,-67,-73,-71,-73,-63,-51,-69,-79,-85,-67,-75,-71,-73,-85,-71,-75,-79,-73,-81,-77
120,"(0,1)",-69,-67,-77,-75,-81,-59,-71,-61,-73,-79,-73,-65,-53,-67,-79,-85,-69,-71,-77,-71,-85,-71,-75,-79,-75,-81,-77
