"""DIE""
84:D4:7E:28:AA:F1","""eduroam""
84:D4:7E:28:AA:F2","""Optronica_5G""
34:CE:00:49:5C:50","""VLSI_5GHz""
E8:DE:27:6D:4A:E8","""WiFi-UdeC""
84:D4:7E:28:AA:E1","""oficinahistoria""
78:32:1B:CD:D0:D4","""OpenWrt""
10:FE:ED:C0:6D:C0","""UdeC""
84:D4:7E:28:AA:E0","""Optronica""
34:CE:00:49:5C:4F","""Lab Hormigon""
00:11:6B:50:FF:86","""SP&R""
20:AA:4B:54:DF:AD","""Yoyo""
60:A4:D0:3A:13:02","""OF. CJIMENEZ""
B0:BE:76:55:85:BC","""""
4A:D9:E7:21:02:35","""DIE""
00:18:F8:32:A0:BD"
-43,-65,-77,-68,-73,-69,-80,-84,-65,-65,-65,-79,-75,-72,-76,-82,-72,-86,-87,-82,-89,-92,-88,-88
-46,-62,-76,-68,-77,-69,-79,-82,-68,-67,-67,-81,-74,-72,-71,-82,-72,-85,-87,-82,-89,-92,-84,-88,-90,-85,-87
-47,-54,-75,-68,-77,-70,-78,-82,-64,-65,-65,-79,-77,-73,-76,-83,-72,-80,-82,-87,-90,-90,-85,-87,-89
"""DIE""
00:02:6F:E5:B6:5A","""Lab Sep""
C0:A0:BB:19:CF:50","""Sistemas Paralelos""
C8:D7:19:DC:7D:C7","""Dinamica de suelos""
CC:2D:E0:7A:79:AB","""Las imagenes""
00:1A:70:5D:E6:E8","""eduroam""
84:D4:7E:28:AA:E2","""DIRECT-17-HP M130f LaserJet""
FA:DA:0C:83:7D:17","""VLSI_2.4GHz""
E8:DE:27:6D:4A:E7","""UdeC""
84:D4:7E:28:AA:F0","""WiFi-UdeC""
84:D4:7E:28:AA:F1","""eduroam""
84:D4:7E:28:AA:F2","""Optronica_5G""
34:CE:00:49:5C:50","""VLSI_5GHz""
E8:DE:27:6D:4A:E8","""WiFi-UdeC""
84:D4:7E:28:AA:E1","""oficinahistoria""
78:32:1B:CD:D0:D4","""OpenWrt""
10:FE:ED:C0:6D:C0","""UdeC""
84:D4:7E:28:AA:E0","""Optronica""
34:CE:00:49:5C:4F","""""
4A:D9:E7:21:02:35","""DIE""
00:18:F8:32:A0:BD","""Laboratorio de Accionamiento 5G""
74:DA:DA:FE:21:D6","""Laboratorio Polimeros""
AC:84:C6:39:3B:D4","""LCSE-24""
F8:E9:03:C7:2C:80","""Sala-Teaching""
4E:D9:E7:21:02:35","""Laboratorio de Accionamiento""
74:DA:DA:FE:21:D4"
-48,-68,-76,-57,-72,-79,-79,-85,-76,-77,-76,-87,-76,-79,-73,-79,-78,-77,-87,-90,-80,-85,-91,-89,-88,-83
-56,-68,-75,-64,-75,-80,-77,-82,-69,-69,-69,-85,-76,-79,-77,-79,-78,-74,-87,-90,-80,-85,-91,-89,-88,-83
-53,-68,-80,-59,-80,-80,-80,-84,-75,-75,-75,-85,-73,-80,-75,-81,-70,-90,-89,-88,-83
-53,-66,-73,-62,-78,-79,-77,-85,-70,-70,-70,-85,-77,-79,-75,-80,-69,-83,-88,-90
-55,-67,-71,-62,-75,-79,-73,-87,-73,-73,-74,-85,-78,-78,-75,-78,-80,-82,-88,-90,-86,-90,-90,-91
